respid,Community Type,Religion,Education Level,Age group,Gender,Family income,US region
8965,Suburban,Something else (please specify):,Some College,18-29,A man,"$40,000 to less than $50,000",South
56,Suburban,Roman Catholic,H.S. graduate or less,50-64,A woman,"Less than $30,000",South
1851,Urban,Protestant,Some College,30-49,A woman,"$40,000 to less than $50,000",Northeast
1085,Rural,Protestant,H.S. graduate or less,50-64,A man,"$150,000 or more",South
16242,Rural,Protestant,H.S. graduate or less,65+,A man,"$40,000 to less than $50,000",South
7769,Rural,Nothing in particular,Some College,30-49,A woman,"Less than $30,000",Northeast
18059,Suburban,Atheist,Some College,18-29,A woman,"$100,000 to less than $125,000",South
7042,Suburban,Nothing in particular,College graduate+,30-49,A woman,"$70,000 to less than $100,000",South
18465,Urban,Nothing in particular,Some College,65+,A man,"Less than $30,000",South
2331,Suburban,Protestant,Some College,18-29,A man,"$50,000 to less than $70,000",West
17756,Suburban,Protestant,College graduate+,30-49,A woman,"$100,000 to less than $125,000",Midwest
1290,Urban,Roman Catholic,College graduate+,30-49,A woman,"$150,000 or more",Northeast
17664,Rural,Protestant,Some College,65+,A man,"$70,000 to less than $100,000",Midwest
16738,Suburban,Nothing in particular,Some College,65+,A woman,"Less than $30,000",Midwest
17335,Urban,Roman Catholic,Some College,65+,A man,"$100,000 to less than $125,000",West
843,Rural,Nothing in particular,H.S. graduate or less,30-49,A woman,"$150,000 or more",West
14926,Urban,Nothing in particular,College graduate+,50-64,A man,"$125,000 to less than $150,000",South
5949,Suburban,Protestant,Some College,50-64,A man,"$100,000 to less than $125,000",South
4250,Suburban,Jewish,College graduate+,50-64,A woman,"$150,000 or more",South
14584,Suburban,Nothing in particular,College graduate+,18-29,A woman,"$40,000 to less than $50,000",West
5102,Rural,Protestant,College graduate+,65+,A woman,"$50,000 to less than $70,000",South
17723,Suburban,Nothing in particular,College graduate+,65+,A man,"$70,000 to less than $100,000",South
3891,Suburban,Buddhist,College graduate+,30-49,A woman,"$50,000 to less than $70,000",West
11884,Suburban,Atheist,Some College,65+,A woman,"$50,000 to less than $70,000",South
5624,Urban,Protestant,College graduate+,65+,A man,"$50,000 to less than $70,000",Northeast
14716,Suburban,Protestant,College graduate+,30-49,A woman,"$100,000 to less than $125,000",South
15016,Urban,Roman Catholic,College graduate+,18-29,A woman,"Less than $30,000",Northeast
18410,Suburban,Protestant,College graduate+,65+,A man,"$150,000 or more",South
1152,Rural,Protestant,College graduate+,50-64,A woman,"$70,000 to less than $100,000",South
11028,Rural,Protestant,H.S. graduate or less,30-49,A woman,"$100,000 to less than $125,000",Midwest
16935,Urban,Roman Catholic,H.S. graduate or less,30-49,A man,"$40,000 to less than $50,000",Northeast
13894,Urban,Agnostic,Some College,18-29,In some other way,"$125,000 to less than $150,000",Midwest
12784,Suburban,Nothing in particular,College graduate+,50-64,A man,"$150,000 or more",South
8627,Urban,Protestant,H.S. graduate or less,65+,A man,"$50,000 to less than $70,000",Northeast
17021,Urban,Protestant,H.S. graduate or less,18-29,A woman,"Less than $30,000",South
18625,Urban,Roman Catholic,College graduate+,30-49,A man,"$30,000 to less than $40,000",Northeast
3937,Rural,Protestant,Some College,30-49,A woman,"$100,000 to less than $125,000",West
9744,Rural,Protestant,H.S. graduate or less,65+,A man,"$50,000 to less than $70,000",South
9229,Suburban,Nothing in particular,Some College,65+,A man,"$70,000 to less than $100,000",Midwest
4811,Rural,Nothing in particular,H.S. graduate or less,65+,A woman,"$70,000 to less than $100,000",Midwest
7520,Suburban,Nothing in particular,College graduate+,30-49,A woman,"$40,000 to less than $50,000",Northeast
6763,Suburban,Roman Catholic,College graduate+,65+,A man,"$70,000 to less than $100,000",South
18078,Suburban,Nothing in particular,H.S. graduate or less,65+,A man,"$100,000 to less than $125,000",Northeast
3278,Suburban,Muslim,Some College,50-64,A man,"Less than $30,000",South
2861,Rural,Protestant,College graduate+,65+,A man,"$40,000 to less than $50,000",South
17272,Suburban,Protestant,Some College,50-64,A man,"$125,000 to less than $150,000",Northeast
5954,Rural,Agnostic,College graduate+,30-49,A woman,"$40,000 to less than $50,000",South
3578,Urban,Something else (please specify):,College graduate+,65+,A man,"$50,000 to less than $70,000",Midwest
6662,Rural,Protestant,Some College,65+,A man,"$50,000 to less than $70,000",South
11757,Urban,Protestant,H.S. graduate or less,30-49,A woman,"Less than $30,000",Northeast
13633,Urban,Protestant,College graduate+,30-49,A man,"$150,000 or more",Midwest
4500,Urban,Protestant,College graduate+,65+,A woman,"$100,000 to less than $125,000",South
15560,Rural,Protestant,H.S. graduate or less,50-64,A woman,"Less than $30,000",Northeast
6988,Rural,Protestant,H.S. graduate or less,65+,A man,"Less than $30,000",Northeast
14262,Suburban,Nothing in particular,College graduate+,65+,A man,"$100,000 to less than $125,000",West
6726,Urban,Jewish,College graduate+,18-29,A man,"$40,000 to less than $50,000",Midwest
1488,Suburban,Roman Catholic,H.S. graduate or less,65+,A man,"$125,000 to less than $150,000",Northeast
5798,Urban,Nothing in particular,Some College,18-29,A woman,"Less than $30,000",Northeast
1819,Urban,Protestant,H.S. graduate or less,30-49,A woman,"$70,000 to less than $100,000",South
17572,Urban,Refused/Web blank,College graduate+,30-49,A man,"$40,000 to less than $50,000",Midwest
12462,Urban,Agnostic,Some College,18-29,A woman,"$70,000 to less than $100,000",South
4032,Rural,Roman Catholic,Some College,50-64,A woman,"$150,000 or more",South
10517,Suburban,Roman Catholic,Some College,65+,A man,"$70,000 to less than $100,000",Midwest
15361,Suburban,Protestant,College graduate+,65+,A woman,"$70,000 to less than $100,000",South
14453,Rural,Protestant,H.S. graduate or less,50-64,A man,"$70,000 to less than $100,000",Northeast
4685,Suburban,Nothing in particular,Some College,30-49,A woman,"$150,000 or more",Northeast
10753,Suburban,Protestant,H.S. graduate or less,30-49,A woman,"Less than $30,000",South
1757,Urban,Protestant,H.S. graduate or less,65+,A man,"$30,000 to less than $40,000",Midwest
12921,Urban,Agnostic,College graduate+,30-49,In some other way,"$150,000 or more",Midwest
9104,Suburban,Nothing in particular,College graduate+,30-49,A woman,"$150,000 or more",West
17490,Suburban,Protestant,College graduate+,65+,A man,"$125,000 to less than $150,000",South
1248,Urban,Something else (please specify):,H.S. graduate or less,65+,A woman,"Less than $30,000",Midwest
3270,Suburban,Roman Catholic,College graduate+,65+,A man,"$150,000 or more",Northeast
13820,Rural,Protestant,H.S. graduate or less,50-64,A man,"$50,000 to less than $70,000",South
15993,Suburban,Agnostic,College graduate+,30-49,A woman,"$150,000 or more",West
14764,Suburban,Protestant,H.S. graduate or less,50-64,A woman,"Less than $30,000",Northeast
15600,Suburban,Protestant,Some College,65+,A woman,"$40,000 to less than $50,000",Midwest
7955,Rural,Protestant,H.S. graduate or less,65+,A man,"$50,000 to less than $70,000",Midwest
12619,Urban,Protestant,College graduate+,18-29,A man,"$150,000 or more",Midwest
13612,Urban,Protestant,College graduate+,30-49,A man,"$125,000 to less than $150,000",Northeast
3946,Suburban,Roman Catholic,College graduate+,65+,A woman,"$150,000 or more",West
18608,Urban,Atheist,College graduate+,50-64,A woman,"$150,000 or more",South
1283,Urban,Protestant,College graduate+,30-49,A woman,"$50,000 to less than $70,000",West
3734,Urban,Protestant,College graduate+,65+,A woman,"$50,000 to less than $70,000",South
17474,Suburban,Protestant,College graduate+,65+,A woman,"$40,000 to less than $50,000",West
662,Rural,Nothing in particular,Some College,30-49,A woman,"$100,000 to less than $125,000",Midwest
8112,Rural,Orthodox,College graduate+,50-64,A man,"$150,000 or more",Northeast
8226,Urban,Protestant,H.S. graduate or less,65+,A man,"$50,000 to less than $70,000",South
9027,Urban,Roman Catholic,H.S. graduate or less,65+,A woman,"$40,000 to less than $50,000",West
1995,Rural,Protestant,Some College,30-49,A woman,"$100,000 to less than $125,000",South
10203,Suburban,Nothing in particular,College graduate+,65+,A woman,"$40,000 to less than $50,000",West
5828,Suburban,Protestant,College graduate+,65+,A man,"$150,000 or more",West
7794,Suburban,Protestant,Some College,30-49,A woman,"$40,000 to less than $50,000",South
10718,Suburban,Roman Catholic,Some College,65+,A woman,"$150,000 or more",South
14502,Suburban,Nothing in particular,College graduate+,30-49,A man,"$150,000 or more",West
15013,Suburban,Agnostic,Some College,30-49,A man,"$125,000 to less than $150,000",South
5087,Rural,Agnostic,Some College,30-49,A man,Refused/Web blank,Northeast
18290,Suburban,Roman Catholic,Some College,50-64,A man,"$70,000 to less than $100,000",South
1455,Suburban,Jewish,College graduate+,65+,A man,"$70,000 to less than $100,000",South
4306,Suburban,Hindu,College graduate+,30-49,Refused/Web blank,"$50,000 to less than $70,000",Northeast
8228,Urban,Nothing in particular,H.S. graduate or less,30-49,A woman,"Less than $30,000",West
1713,Suburban,Roman Catholic,Some College,50-64,A man,"$50,000 to less than $70,000",Midwest
1258,Suburban,Protestant,Some College,50-64,A man,"Less than $30,000",West
3963,Suburban,Roman Catholic,College graduate+,30-49,A man,"$125,000 to less than $150,000",Midwest
10342,Suburban,Protestant,College graduate+,65+,A man,Refused/Web blank,South
10638,Urban,Nothing in particular,College graduate+,65+,A woman,"$70,000 to less than $100,000",West
14478,Urban,Atheist,H.S. graduate or less,30-49,A man,"$50,000 to less than $70,000",West
10046,Suburban,Agnostic,College graduate+,65+,A woman,"$40,000 to less than $50,000",Northeast
17338,Rural,Protestant,Some College,65+,A woman,"$100,000 to less than $125,000",South
881,Suburban,Protestant,Some College,18-29,A woman,"Less than $30,000",West
4385,Suburban,Roman Catholic,H.S. graduate or less,18-29,A man,"Less than $30,000",South
17426,Urban,Protestant,Some College,30-49,A man,"$50,000 to less than $70,000",West
17054,Suburban,Protestant,College graduate+,30-49,A man,"$150,000 or more",South
5477,Urban,Protestant,College graduate+,30-49,A man,"$50,000 to less than $70,000",Midwest
17349,Urban,Atheist,College graduate+,65+,A woman,Refused/Web blank,South
17189,Refused/Web blank,Roman Catholic,H.S. graduate or less,50-64,A man,"Less than $30,000",West
3999,Urban,Nothing in particular,College graduate+,50-64,A woman,"$150,000 or more",South
3144,Suburban,Agnostic,College graduate+,Refused,A woman,"$150,000 or more",Northeast
3630,Suburban,Nothing in particular,Some College,50-64,A woman,"$70,000 to less than $100,000",Northeast
18800,Rural,Roman Catholic,College graduate+,50-64,A man,"$150,000 or more",Northeast
7920,Rural,Roman Catholic,H.S. graduate or less,18-29,A woman,"$40,000 to less than $50,000",South
2835,Suburban,Nothing in particular,Some College,18-29,A woman,"$30,000 to less than $40,000",Midwest
6150,Rural,Nothing in particular,Some College,30-49,A woman,"Less than $30,000",Northeast
11482,Suburban,Protestant,College graduate+,50-64,A man,"$150,000 or more",South
123,Suburban,Nothing in particular,College graduate+,30-49,A woman,"$70,000 to less than $100,000",South
10602,Suburban,Protestant,Some College,30-49,A woman,"$50,000 to less than $70,000",Northeast
10878,Rural,Agnostic,College graduate+,65+,A man,"$150,000 or more",Northeast
6188,Suburban,Roman Catholic,Some College,65+,A man,"$150,000 or more",West
6540,Suburban,Buddhist,College graduate+,50-64,A man,"$30,000 to less than $40,000",West
7198,Urban,Roman Catholic,H.S. graduate or less,18-29,A woman,Refused/Web blank,West
13814,Urban,Protestant,College graduate+,30-49,A man,"$70,000 to less than $100,000",South
12198,Suburban,Agnostic,College graduate+,65+,A woman,"$100,000 to less than $125,000",West
7447,Suburban,Protestant,College graduate+,30-49,A woman,"$50,000 to less than $70,000",South
13718,Urban,Protestant,College graduate+,30-49,A man,"$70,000 to less than $100,000",South
6473,Suburban,Protestant,Some College,65+,A man,"$100,000 to less than $125,000",South
17051,Suburban,Agnostic,College graduate+,30-49,A woman,"$150,000 or more",South
13703,Suburban,Roman Catholic,College graduate+,30-49,A woman,"$40,000 to less than $50,000",West
14121,Rural,Agnostic,College graduate+,50-64,A woman,"$70,000 to less than $100,000",South
17498,Urban,Protestant,H.S. graduate or less,50-64,A man,"Less than $30,000",South
13469,Urban,Agnostic,Some College,30-49,A man,"$70,000 to less than $100,000",South
1211,Suburban,Roman Catholic,Some College,65+,A woman,"$100,000 to less than $125,000",Midwest
