RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,STRATUM,INTERVIEW_START,INTERVIEW_END,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,GOVPROTCT,MOREGUNIMPACT,FIN_SIT,VET1,VOL12_CPS,EMINUSE,INTMOB,INTFREQ,INTFREQ_COLLAPSED,HOME4NW2,BBHOME,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RADIO,DEVICE1A,SMART2,NHISLL,RELIG,RELIGCAT1,BORN,ATTENDPER,ATTENDONLINE2,RELIMP,PRAY,EDUCCAT,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACECMB,RACETHN,AGEGRP,AGECAT,BIRTHPLACE,GENDER,ADULTS,VOTED2024,VOTEGEN_POST,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
18470,2,1,,10,2025-05-08,2025-05-08,2,3,3,2,3,2,3,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,1,1,1,3,5,1,2,1,1,1,,1,2,1,1,8,3,1,2,3,1,3,4,3,1,2.4066014193015723,0.4728156123010687
18634,2,1,,10,2025-05-02,2025-05-02,2,3,1,1,2,2,3,2,4,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,4,3,1,3,1,1,1,,1,2,1,1,11,4,1,2,1,1,1,4,3,1,0.802200473100524,0.6161642993203253
16757,2,1,,9,2025-05-12,2025-05-12,4,3,1,2,2,2,2,4,4,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,12,3,2,6,6,4,7,2,1,2,,2,1,5,3,7,3,1,1,99,1,2,3,4,1,0.9018011921354439,0.559988046805073
9783,1,1,9,10,2025-02-26,2025-02-26,4,2,3,2,2,2,3,3,4,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,1,2,3,1,1,1,1,1,,1,2,1,1,7,3,1,2,3,1,1,5,3,1,1.2033007096507862,0.7638631775902641
6862,2,1,,9,2025-05-13,2025-05-13,2,1,2,2,2,2,3,3,4,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,5,5,2,2,2,1,1,,1,2,1,1,11,4,1,1,1,1,1,1,1,1,0.4509005960677219,0.22111566035520103
11555,2,1,,7,2025-05-02,2025-05-02,4,2,1,2,2,2,1,1,4,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,6,1,1,1,1,2,,2,1,1,3,4,2,1,2,2,1,2,8,3,1,0.3549963201832534,0.2824516173216229
13673,1,1,9,10,2025-03-02,2025-03-02,2,3,2,1,2,2,1,2,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,6,4,2,2,1,1,4,1,2,3,2,2,2,3,5,2,1,4,1,2,2,,5,1,1,0.802200473100524,2.422277636612097
14364,1,1,9,10,2025-03-15,2025-03-15,3,3,1,2,4,2,3,2,1,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,2,2,2,1,1,2,12,3,2,6,6,4,6,3,1,2,,2,2,1,1,12,4,1,1,2,1,2,3,3,1,0.802200473100524,0.5766571266178363
15793,3,2,9,10,2025-03-06,2025-03-06,3,2,1,1,4,2,1,3,4,2,1,1,2,2,1,4,1,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,5,6,1,2,3,2,4,2,2,1,99,3,5,2,4,2,2,2,,4,4,1,1.604400946201048,5.089685535948046
18408,2,1,,10,2025-05-13,2025-05-13,2,2,2,2,3,2,1,3,2,1,1,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,1,1,2,2,2,1,3,1,1,2,,2,2,1,1,6,2,1,2,2,1,2,7,4,1,1.604400946201048,1.208065249184001
5945,1,1,9,10,2025-03-13,2025-03-13,2,3,2,2,2,2,1,1,4,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,,1,2,1,1,10,4,1,2,2,1,1,4,2,1,0.802200473100524,0.5361416136892311
16607,2,1,,7,2025-05-02,2025-05-02,2,1,2,2,2,2,2,4,4,2,2,2,6,4,,,,,,,,,,,,,,1,1,2,2,99,99,2,6,6,1,1,3,1,99,2,2,2,2,2,9,3,1,2,99,1,2,1,4,1,0.1774981600916267,0.17804907793195135
10500,1,1,9,2,2025-03-03,2025-03-03,2,1,1,2,2,2,1,1,4,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,5,6,4,6,1,1,2,,2,2,1,1,11,4,1,1,1,1,2,4,3,1,0.2886818343575065,0.14644297319521474
16442,1,1,9,10,2025-02-28,2025-02-28,2,3,2,2,2,2,3,1,4,2,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,4,3,1,2,2,2,1,,1,1,1,3,6,2,1,2,2,2,,7,3,1,0.802200473100524,0.8698643746688327
13114,1,1,9,10,2025-03-10,2025-03-10,2,3,2,2,2,2,1,2,4,1,1,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,,1,1,1,3,9,3,2,2,1,1,1,5,1,1,0.401100236550262,0.3810629995847999
4142,2,1,,10,2025-05-09,2025-05-09,3,1,3,2,2,1,2,4,4,2,1,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,5,6,2,2,2,2,1,,1,2,1,1,10,4,1,2,2,2,,5,3,2,1.604400946201048,1.2310885871189066
812,1,1,9,10,2025-02-19,2025-02-19,3,3,2,2,3,1,3,2,4,2,1,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,12,3,2,6,6,4,7,1,1,3,1,1,2,1,1,5,2,1,1,2,2,,6,4,1,0.802200473100524,1.267660320221586
10250,2,1,,10,2025-05-08,2025-05-08,4,1,3,1,3,1,2,3,4,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,6,6,1,1,3,1,1,,1,2,1,1,7,3,1,2,2,1,1,1,3,2,1.604400946201048,1.1258293248556868
3716,1,1,9,1,2025-02-25,2025-02-25,1,2,1,2,1,99,2,4,2,1,1,1,1,1,2,,1,99,1,99,1,1,99,99,1,99,1,99,99,,2,99,99,99,99,99,99,99,99,99,99,99,9,99,99,99,4,2,1,1,99,99,,99,3,1,0.16016429921434563,0.06894074202177933
9247,1,1,9,7,2025-03-03,2025-03-03,4,2,1,2,4,2,3,1,4,2,1,1,2,2,1,4,2,1,2,1,1,2,1,2,2,2,2,2,1,1,2,12,3,1,1,3,3,2,2,2,3,2,2,1,5,3,1,1,3,1,3,1,2,1,4,1,0.26624724013744006,0.7993593114833589
14233,2,1,,7,2025-05-12,2025-05-12,3,3,3,2,3,2,3,2,4,2,1,1,4,3,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,2,4,6,2,2,2,1,3,2,2,2,1,1,11,4,1,1,1,1,2,3,3,2,0.1774981600916267,0.10270048385606459
13255,2,1,,10,2025-05-06,2025-05-06,2,1,3,2,3,1,2,1,4,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,12,3,2,5,6,4,5,2,1,1,,1,2,1,1,7,3,1,1,2,1,1,8,3,2,1.604400946201048,1.373641014181489
1564,2,1,,10,2025-05-05,2025-05-05,3,2,1,2,4,2,1,2,4,1,1,1,3,3,1,2,1,99,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,4,6,3,6,3,1,2,,2,2,1,1,12,4,1,2,1,1,2,1,1,1,0.802200473100524,0.7146387849774956
780,1,1,9,10,2025-03-23,2025-03-23,1,2,1,2,2,2,1,1,4,2,1,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,10,3,2,5,5,3,6,1,2,3,2,2,2,2,2,3,2,4,1,2,2,,8,1,1,0.802200473100524,2.1715490365069128
11181,1,1,9,10,2025-03-03,2025-03-03,3,1,3,2,2,1,1,3,4,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,5,6,2,1,3,1,1,,1,2,1,1,10,4,1,2,1,1,1,1,1,1,0.401100236550262,0.31805878389587794
5145,2,1,,10,2025-05-22,2025-05-22,3,3,3,2,3,1,3,1,4,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,5,5,1,3,3,1,3,2,2,2,1,1,10,4,1,1,99,1,2,6,2,1,0.802200473100524,0.5019885750217431
16368,1,1,9,1,2025-03-29,2025-03-29,3,2,1,2,3,2,2,3,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,5,6,1,1,2,2,2,,2,2,2,2,5,2,1,1,1,1,2,2,2,1,0.08008214960717282,0.10750069458530888
14782,3,1,9,10,2025-02-27,2025-02-27,3,1,3,1,2,2,2,3,4,2,2,2,6,4,,,,,,,,,,,,,,1,1,2,1,12,3,2,5,6,2,7,3,1,3,1,1,2,5,4,10,4,1,1,2,1,1,3,2,1,1.604400946201048,2.8473856798629926
3017,1,1,9,10,2025-03-02,2025-03-02,2,2,2,2,2,2,3,2,4,2,1,1,3,3,1,2,1,1,2,2,99,2,2,2,1,2,2,1,1,1,1,2,2,2,4,6,2,2,2,1,2,,2,2,1,1,11,4,1,1,2,1,2,5,4,1,0.802200473100524,0.4377437169639059
7158,1,1,9,10,2025-03-05,2025-03-05,1,1,2,2,2,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,5,6,3,7,1,1,1,,1,2,1,1,13,4,1,1,1,1,1,8,4,1,0.401100236550262,0.2342870696846766
14402,1,1,9,10,2025-03-09,2025-03-09,2,1,1,2,3,2,2,1,4,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,4,1,2,1,1,1,,1,2,1,1,2,1,1,2,3,1,1,5,1,1,1.2033007096507862,1.8060822406868426
13349,2,1,,10,2025-05-06,2025-05-06,3,2,3,2,3,2,1,2,4,2,2,2,6,4,,,,,,,,,,,,,,1,1,2,1,2,2,2,6,6,2,7,3,1,2,,2,2,1,1,11,4,1,1,99,1,2,4,2,1,1.604400946201048,1.3187681434249294
14373,1,1,9,10,2025-02-25,2025-02-25,3,2,2,2,2,2,1,3,4,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,1,1,1,2,10,3,1,6,6,4,7,1,1,3,2,2,2,1,1,3,2,1,2,1,1,2,4,3,1,0.401100236550262,0.3723139337323474
6489,2,1,,10,2025-05-21,2025-05-21,2,1,3,2,3,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,4,1,1,1,1,1,,1,2,1,1,12,4,1,2,2,1,1,4,3,2,1.604400946201048,0.6978294979786571
11684,2,1,,10,2025-05-12,2025-05-12,2,3,2,2,2,2,2,3,4,2,1,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,3,5,1,2,2,2,1,,1,2,1,1,4,2,1,2,2,2,,6,1,1,1.604400946201048,3.4760634468221747
17455,2,1,9,10,2025-05-14,2025-05-14,3,1,3,1,2,2,2,3,4,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,6,6,3,7,3,1,1,,1,2,1,1,9,3,1,1,2,1,1,3,3,1,1.604400946201048,2.190711188711161
1698,2,1,,10,2025-05-05,2025-05-05,4,3,2,2,4,1,2,4,2,1,1,1,3,3,1,2,1,1,2,99,2,2,2,2,2,2,2,2,1,1,2,1,1,1,2,5,1,1,2,1,1,,1,2,1,1,7,3,1,2,4,1,1,4,1,1,2.4066014193015723,1.4485162258245745
2820,1,1,9,9,2025-02-24,2025-02-24,3,2,1,2,3,2,1,3,4,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,5,5,2,1,2,1,2,,2,1,4,3,2,1,1,2,2,2,,2,2,1,0.4509005960677219,0.9357280083930084
11520,2,1,,10,2025-05-13,2025-05-13,3,3,2,2,3,2,3,3,2,1,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,2,4,5,2,5,1,1,1,,1,2,1,1,8,3,1,1,4,1,1,6,1,1,2.4066014193015723,1.6228943969137781
1644,2,1,,10,2025-04-30,2025-04-30,3,2,2,2,2,2,3,2,4,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,6,6,2,1,3,1,3,2,2,1,1,3,7,3,1,2,3,1,2,5,4,1,2.4066014193015723,1.7932231739173021
533,1,2,10,6,2025-03-02,2025-03-02,2,1,1,2,2,2,3,3,4,2,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,2,1,1,2,2,10,3,2,6,6,4,1,3,2,4,99,9,1,99,3,7,3,4,1,1,2,,1,4,1,0.391565420857087,1.7543523914478938
12802,1,1,9,6,2025-02-24,2025-02-24,4,2,2,2,3,2,1,2,4,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,4,2,1,1,1,2,2,,2,1,99,3,1,1,1,2,1,2,,1,1,1,0.391565420857087,0.8933876810354783
15977,2,1,,10,2025-05-02,2025-05-02,2,1,2,1,3,1,2,2,4,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,1,1,1,2,4,1,1,1,1,1,,1,2,3,5,4,2,4,1,2,1,1,6,3,1,1.604400946201048,1.8280966231155518
7189,1,1,9,10,2025-03-11,2025-03-11,3,1,2,1,2,2,2,2,4,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,5,6,2,1,1,1,1,,1,2,1,1,10,4,1,1,2,1,1,4,3,1,0.802200473100524,0.2670737930672933
17593,2,1,,7,2025-05-15,2025-05-15,4,3,1,1,2,1,2,2,4,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,4,6,1,1,1,1,1,,1,1,4,3,10,4,4,1,1,1,1,5,4,1,0.1774981600916267,0.10409854589170797
11126,1,1,9,10,2025-03-08,2025-03-08,2,2,2,2,2,2,3,3,4,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,2,10,3,2,6,6,4,6,1,1,2,,2,2,1,1,7,3,1,1,2,1,2,5,4,1,0.802200473100524,0.49541445910182175
1641,2,1,,10,2025-05-23,2025-05-23,2,3,3,1,2,2,1,2,4,1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,1,1,1,4,6,2,3,2,1,1,,1,2,1,1,4,2,1,1,2,2,,4,1,2,1.604400946201048,3.7530125701582864
7003,1,1,9,7,2025-02-25,2025-02-25,4,1,1,2,4,2,1,3,4,2,1,1,4,3,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,3,5,1,3,2,1,2,,2,2,4,4,2,1,1,2,1,2,,1,4,1,0.08874908004581335,0.44875616548250735
12054,2,1,,10,2025-06-02,2025-06-02,2,2,2,2,3,2,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,10,3,2,6,6,3,7,1,1,2,,2,2,1,1,11,4,1,1,2,1,2,8,3,1,1.604400946201048,0.6967890342095625
7351,1,1,9,10,2025-03-07,2025-03-07,3,3,1,2,3,2,1,1,4,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,10,3,2,5,6,3,2,1,1,3,2,2,2,1,1,4,2,4,2,2,1,2,8,1,1,0.802200473100524,0.7617033344290483
8105,2,1,,10,2025-05-30,2025-05-30,4,3,1,2,3,2,3,2,4,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,2,2,99,4,3,1,1,1,1,2,,2,2,1,1,7,3,1,2,1,1,2,6,4,1,0.802200473100524,0.48665574226966557
8341,1,1,9,10,2025-03-22,2025-03-22,2,1,2,1,3,2,2,1,4,99,1,1,1,1,1,2,1,1,99,99,99,99,99,99,99,99,99,2,2,,1,12,3,1,1,3,2,1,3,2,3,2,2,2,1,1,6,2,1,2,2,2,,1,3,1,0.802200473100524,2.0780545459020323
15215,1,2,9,8,2025-03-25,2025-03-25,2,3,1,2,3,2,3,2,4,2,99,1,3,3,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,5,5,3,2,3,2,3,2,2,1,99,3,9,3,4,1,4,2,,3,4,1,0.5774466377384035,2.574970243103572
11677,2,2,,8,2025-05-06,2025-05-06,4,1,1,1,4,2,1,3,4,2,1,1,1,1,1,2,99,99,99,99,99,99,99,99,99,99,99,2,1,1,2,2,2,2,5,2,1,2,99,1,2,,2,1,1,3,13,4,4,2,3,1,2,99,4,1,1.154893275476807,0.6925563223019997
17186,1,1,9,10,2025-03-11,2025-03-11,3,1,2,1,2,2,3,2,4,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,5,6,3,5,1,1,1,,1,2,1,1,5,2,1,1,2,1,1,7,1,1,0.802200473100524,1.0024982271675056
5402,2,1,,10,2025-05-16,2025-05-16,1,2,1,2,1,1,3,1,4,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,6,6,3,6,1,1,1,,1,2,1,1,8,3,1,1,3,1,1,8,3,1,2.4066014193015723,2.1778492035949455
8272,2,1,,8,2025-05-01,2025-05-01,2,2,2,1,2,2,2,2,4,1,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,4,1,1,1,1,1,,1,2,3,5,10,4,4,2,3,1,2,8,4,1,1.154893275476807,0.5448223259851441
5899,1,1,9,10,2025-02-25,2025-02-25,2,2,3,2,1,2,3,2,2,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,5,6,1,2,1,1,2,,2,2,1,1,9,3,1,2,2,1,2,5,1,2,0.802200473100524,0.5047633537300016
8863,2,1,,10,2025-05-08,2025-05-08,2,2,1,2,2,2,1,2,4,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,12,3,2,5,6,4,5,1,1,2,,2,2,1,1,11,4,1,1,1,1,2,4,2,1,0.802200473100524,0.3157657098223852
17450,2,1,,10,2025-05-05,2025-05-05,3,1,3,2,2,2,3,4,4,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,3,2,1,,1,2,1,1,10,4,1,1,2,2,,2,3,1,1.604400946201048,2.2974690832520817
17434,1,1,9,10,2025-02-24,2025-02-24,3,1,2,2,3,2,1,3,4,2,1,2,5,4,2,,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,3,6,1,2,3,1,2,,2,1,1,3,13,4,1,2,2,1,2,4,4,1,0.802200473100524,0.5634129882480631
2616,1,1,9,9,2025-03-10,2025-03-10,3,3,1,2,4,2,1,3,4,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,2,1,1,2,5,6,1,1,2,1,1,,1,2,1,1,6,2,1,2,2,1,1,3,3,1,0.4509005960677219,0.3477149778257488
14436,2,1,,10,2025-05-05,2025-05-05,2,1,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,3,6,3,5,1,1,1,,1,2,1,1,12,4,1,1,2,1,1,8,3,1,1.604400946201048,0.5084560020428105
10828,2,1,,2,2025-05-09,2025-05-09,3,3,2,2,3,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,3,1,2,1,1,2,,2,2,2,2,10,4,1,2,1,1,2,2,3,1,0.577363668715013,0.32709778292103425
8391,1,2,10,7,2025-03-14,2025-03-14,2,1,2,1,3,2,1,2,4,2,1,1,2,2,2,,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,1,4,2,2,3,2,2,3,1,1,1,2,3,2,1,1,2,3,2,,4,3,1,0.26624724013744006,0.6472896888530842
8108,1,1,9,1,2025-03-25,2025-03-25,4,3,1,2,3,2,1,3,4,2,1,1,1,1,1,2,1,2,99,99,1,99,99,99,99,99,99,2,1,1,2,1,1,2,5,6,1,5,3,1,2,,2,2,1,1,8,3,1,1,2,1,2,2,2,1,0.16016429921434563,0.18786472620950442
5136,1,1,9,10,2025-02-26,2025-02-26,2,2,3,2,2,2,1,2,2,1,1,2,3,3,2,,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,5,1,1,1,1,2,,2,2,1,1,11,4,1,2,2,1,2,4,2,1,0.802200473100524,0.3023377648021949
1220,1,1,9,10,2025-02-10,2025-02-10,4,3,2,2,2,2,3,2,4,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,3,2,1,1,1,1,3,1,1,2,5,4,3,2,1,2,2,1,99,7,3,1,0.802200473100524,1.1157618797185196
503,1,1,9,10,2025-03-04,2025-03-04,2,3,2,2,2,2,3,1,4,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,10,3,2,6,6,4,7,1,1,2,,2,2,1,1,5,2,1,1,2,1,2,7,4,1,0.802200473100524,0.6281114766693636
301,2,1,,10,2025-06-02,2025-06-02,3,3,3,2,3,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,6,6,2,1,2,1,1,,1,2,1,1,8,3,4,1,1,1,1,5,2,2,0.802200473100524,0.5268816576803247
3930,2,1,,10,2025-05-02,2025-05-02,1,1,1,1,1,1,3,1,4,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,5,3,6,1,1,1,,1,2,1,1,12,4,1,1,2,2,,8,3,1,1.604400946201048,1.4092482398597106
16916,1,1,9,10,2025-02-26,2025-02-26,2,3,2,2,2,2,2,1,4,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,5,1,1,1,1,3,1,1,2,1,1,9,3,1,1,2,1,3,8,3,1,0.802200473100524,0.1775648409676334
18133,2,1,,10,2025-05-21,2025-05-21,2,3,3,2,3,1,3,1,4,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,5,4,2,4,4,2,6,1,1,3,2,2,2,1,1,10,4,1,1,2,1,2,8,1,1,1.604400946201048,0.4705730713411775
456,2,1,,10,2025-05-05,2025-05-05,2,1,3,1,2,1,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,12,3,1,6,6,4,7,2,1,3,1,1,2,1,1,12,4,1,2,2,1,1,4,2,1,1.604400946201048,0.6645332708756385
16837,1,1,9,10,2025-03-27,2025-03-27,3,2,3,2,2,99,3,3,4,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,1,3,1,1,3,3,99,99,9,2,1,1,5,2,1,2,4,2,,4,2,2,1.2033007096507862,1.7153109450763289
