respid,comtype2,smuse_fb,smuse_yt,smuse_x,smuse_ig,smuse_sc,smuse_tt,smuse_rd,smuse_bsk,smuse_th,smuse_ts,relig,educcat,party,hisp,racethn,agecat,birthplace,gender,adults,inc_sdt1,cregion,metro
18634,Urban,"No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,1,"$50,000 to less than $70,000",South,Metropolitan
16757,Urban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Nothing in particular,Some College,Democrat,Yes,Hispanic,50-64,"U.S. - 50 states, District of Columbia",A man,Refused/Web blank,"$40,000 to less than $50,000",West,Metropolitan
9783,Rural,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A woman,3,"$70,000 to less than $100,000",South,Metropolitan
6862,Suburban,"No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,Some College,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,1,"Less than $30,000",Northeast,Metropolitan
11555,Urban,"No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,College graduate+,Democrat,Yes,Hispanic,30-49,"U.S. - 50 states, District of Columbia",A woman,2,"$150,000 or more",South,Metropolitan
13673,Suburban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Muslim,College graduate+,Independent,No,Asian non-Hispanic,18-29,Another country (please specify):,A man,2,"$70,000 to less than $100,000",Northeast,Metropolitan
14364,Urban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Nothing in particular,H.S. graduate or less,Democrat,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,2,"$40,000 to less than $50,000",South,Metropolitan
15793,Urban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,H.S. graduate or less,Something else,Yes,Hispanic,30-49,Another country (please specify):,A woman,2,"$50,000 to less than $70,000",West,Metropolitan
18408,Suburban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Democrat,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A woman,2,"$125,000 to less than $150,000",West,Metropolitan
5945,Suburban,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,2,"$50,000 to less than $70,000",Midwest,Metropolitan
10500,Urban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this",Protestant,College graduate+,Democrat,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,1,"$50,000 to less than $70,000",South,Metropolitan
16442,Suburban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,Some College,Republican,Yes,Hispanic,30-49,"U.S. - 50 states, District of Columbia",A woman,2,"$125,000 to less than $150,000",South,Metropolitan
13114,Suburban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,Yes,Hispanic,50-64,U.S. - Puerto Rico,A woman,1,"$70,000 to less than $100,000",Northeast,Metropolitan
4142,Rural,"No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,Some College,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,2,"$70,000 to less than $100,000",South,Non-metropolitan
812,Suburban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Nothing in particular,College graduate+,Independent,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A man,2,"$100,000 to less than $125,000",West,Metropolitan
10250,Rural,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,H.S. graduate or less,Republican,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A woman,2,"Less than $30,000",South,Non-metropolitan
3716,Urban,"Yes, use this",Refused/Web blank,"Yes, use this",Refused/Web blank,"Yes, use this",Refused/Web blank,Refused/Web blank,"Yes, use this",Refused/Web blank,"Yes, use this",Refused/Web blank,Refused,Refused/Web blank,Refused/Web blank,Refused,30-49,"U.S. - 50 states, District of Columbia",A man,Refused/Web blank,Refused/Web blank,South,Metropolitan
9247,Urban,"No, don't use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Nothing in particular,Some College,Independent,Yes,Hispanic,18-29,U.S. - other territory,A man,3,"Less than $30,000",West,Metropolitan
14233,Rural,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,Some College,Independent,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,1,"$40,000 to less than $50,000",South,Non-metropolitan
13255,Rural,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this",Nothing in particular,Some College,Republican,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A man,2,"$150,000 or more",South,Non-metropolitan
1564,Urban,"Yes, use this",Refused/Web blank,"No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,H.S. graduate or less,Democrat,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,1,"Less than $30,000",Northeast,Metropolitan
780,Urban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Agnostic,College graduate+,Independent,No,Black non-Hispanic,30-49,Another country (please specify):,A man,2,"$150,000 or more",Northeast,Metropolitan
11181,Rural,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,H.S. graduate or less,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,1,"Less than $30,000",Northeast,Metropolitan
5145,Rural,"No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,H.S. graduate or less,Independent,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,Refused/Web blank,"$100,000 to less than $125,000",Midwest,Metropolitan
16368,Urban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this",Protestant,Some College,Democrat,No,Black non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A man,1,"$30,000 to less than $40,000",Midwest,Metropolitan
3017,Suburban,"Yes, use this","Yes, use this","No, don't use this","No, don't use this",Refused/Web blank,"No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this",Roman Catholic,Some College,Democrat,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,2,"$70,000 to less than $100,000",West,Metropolitan
7158,Suburban,"Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,1,"$150,000 or more",West,Metropolitan
14402,Urban,"No, don't use this","No, don't use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,College graduate+,Republican,No,White non-Hispanic,18-29,"U.S. - 50 states, District of Columbia",A woman,3,"$70,000 to less than $100,000",Northeast,Metropolitan
14373,Suburban,"No, don't use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this",Agnostic,College graduate+,Independent,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A woman,1,"$50,000 to less than $70,000",South,Metropolitan
6489,Rural,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this",Protestant,College graduate+,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,2,"$50,000 to less than $70,000",South,Non-metropolitan
11684,Suburban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,Some College,Republican,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A woman,2,"$100,000 to less than $125,000",Northeast,Metropolitan
17455,Rural,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,H.S. graduate or less,Republican,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A man,2,"$40,000 to less than $50,000",South,Metropolitan
1698,Suburban,"Yes, use this","Yes, use this","No, don't use this",Refused/Web blank,"No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,Some College,Republican,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A woman,4,"$50,000 to less than $70,000",Northeast,Metropolitan
2820,Urban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this",Protestant,Some College,Democrat,Yes,Hispanic,18-29,"U.S. - 50 states, District of Columbia",A woman,2,"$30,000 to less than $40,000",Midwest,Metropolitan
11520,Suburban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A man,4,"$100,000 to less than $125,000",Northeast,Metropolitan
1644,Suburban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,H.S. graduate or less,Independent,Yes,Hispanic,50-64,"U.S. - 50 states, District of Columbia",A woman,3,"$70,000 to less than $100,000",West,Metropolitan
533,Urban,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Agnostic,H.S. graduate or less,Something else,Yes,Hispanic,50-64,Another country (please specify):,A man,1,"Less than $30,000",West,Metropolitan
12802,Suburban,"No, don't use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,College graduate+,Democrat,Yes,Hispanic,18-29,"U.S. - 50 states, District of Columbia",A woman,1,"Less than $30,000",Northeast,Metropolitan
15977,Suburban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this",Protestant,College graduate+,Republican,No,Asian non-Hispanic,30-49,Another country (please specify):,A man,2,"$100,000 to less than $125,000",South,Metropolitan
7189,Suburban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,College graduate+,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,2,"$50,000 to less than $70,000",South,Metropolitan
17593,Urban,"Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,Yes,Hispanic,65+,Another country (please specify):,A man,1,"$70,000 to less than $100,000",West,Metropolitan
11126,Suburban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Agnostic,College graduate+,Democrat,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A man,2,"$70,000 to less than $100,000",West,Metropolitan
1641,Rural,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,Some College,Republican,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A man,2,"$50,000 to less than $70,000",Northeast,Non-metropolitan
7003,Urban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,Some College,Democrat,No,Other,18-29,"U.S. - 50 states, District of Columbia",A woman,1,"Less than $30,000",West,Metropolitan
12054,Suburban,"No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Agnostic,College graduate+,Democrat,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,2,"$150,000 or more",South,Metropolitan
7351,Urban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this",Agnostic,College graduate+,Independent,No,White non-Hispanic,30-49,Another country (please specify):,A woman,2,"$150,000 or more",Northeast,Metropolitan
8105,Urban,"No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,College graduate+,Democrat,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A woman,1,"$100,000 to less than $125,000",West,Metropolitan
8341,Suburban,"Yes, use this","Yes, use this",Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Nothing in particular,H.S. graduate or less,Independent,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A woman,2,"Less than $30,000",South,Metropolitan
15215,Urban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,H.S. graduate or less,Independent,Yes,Hispanic,50-64,Another country (please specify):,A man,4,"$40,000 to less than $50,000",West,Metropolitan
11677,Urban,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Roman Catholic,Refused,Democrat,Yes,Hispanic,65+,Another country (please specify):,A woman,3,Refused/Web blank,West,Metropolitan
17186,Suburban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A man,2,"$125,000 to less than $150,000",Northeast,Metropolitan
5402,Urban,"No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A man,3,"$150,000 or more",South,Metropolitan
8272,Suburban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this",Roman Catholic,College graduate+,Republican,No,Asian non-Hispanic,65+,Another country (please specify):,A woman,3,"$150,000 or more",West,Metropolitan
5899,Rural,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,College graduate+,Democrat,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A woman,2,"$70,000 to less than $100,000",Northeast,Non-metropolitan
8863,Urban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Nothing in particular,College graduate+,Democrat,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,1,"$50,000 to less than $70,000",Midwest,Metropolitan
17450,Rural,"No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,H.S. graduate or less,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,2,"$30,000 to less than $40,000",South,Metropolitan
17434,Suburban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,H.S. graduate or less,Democrat,Yes,Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,2,"$50,000 to less than $70,000",West,Metropolitan
2616,Urban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this",Protestant,Some College,Republican,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A woman,2,"$40,000 to less than $50,000",South,Metropolitan
14436,Suburban,"No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,2,"$150,000 or more",South,Metropolitan
10828,Suburban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Democrat,No,Black non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,1,"$30,000 to less than $40,000",South,Metropolitan
8391,Suburban,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,Some College,Independent,Yes,Hispanic,18-29,"U.S. - 50 states, District of Columbia",A woman,3,"$50,000 to less than $70,000",South,Metropolitan
8108,Urban,"Yes, use this","No, don't use this",Refused/Web blank,Refused/Web blank,"Yes, use this",Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Refused/Web blank,Protestant,H.S. graduate or less,Democrat,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A man,2,"$30,000 to less than $40,000",Midwest,Metropolitan
5136,Rural,"Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Democrat,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,2,"$50,000 to less than $70,000",Midwest,Metropolitan
1220,Suburban,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Independent,No,Other,30-49,"U.S. - 50 states, District of Columbia",A woman,2,"$125,000 to less than $150,000",South,Metropolitan
503,Suburban,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Agnostic,College graduate+,Democrat,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A man,2,"$125,000 to less than $150,000",West,Metropolitan
301,Rural,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,Some College,Republican,No,White non-Hispanic,50-64,Another country (please specify):,A man,1,"$70,000 to less than $100,000",Midwest,Non-metropolitan
3930,Urban,"No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,College graduate+,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,2,"$150,000 or more",South,Metropolitan
16916,Suburban,"Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,College graduate+,Independent,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A man,2,"$150,000 or more",South,Metropolitan
18133,Rural,"No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Jewish,College graduate+,Independent,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,2,"$150,000 or more",Northeast,Metropolitan
456,Rural,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Nothing in particular,Some College,Independent,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A woman,2,"$50,000 to less than $70,000",Midwest,Metropolitan
16837,Rural,"Yes, use this","Yes, use this","No, don't use this","Yes, use this","No, don't use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Protestant,H.S. graduate or less,Refused/Web blank,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A woman,4,"$50,000 to less than $70,000",Midwest,Non-metropolitan
6610,Rural,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Nothing in particular,Some College,Republican,No,White non-Hispanic,65+,"U.S. - 50 states, District of Columbia",A man,1,"Less than $30,000",South,Metropolitan
5636,Rural,"No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,Some College,Something else,No,Black non-Hispanic,65+,U.S. - other territory,A woman,2,"$30,000 to less than $40,000",South,Metropolitan
3637,Urban,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Protestant,H.S. graduate or less,Independent,No,Black non-Hispanic,65+,Another country (please specify):,A woman,2,"Less than $30,000",South,Metropolitan
16193,Suburban,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Nothing in particular,College graduate+,Republican,No,White non-Hispanic,65+,Another country (please specify):,A man,2,"$70,000 to less than $100,000",West,Metropolitan
9738,Rural,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Protestant,Some College,Republican,No,White non-Hispanic,50-64,"U.S. - 50 states, District of Columbia",A woman,2,"$100,000 to less than $125,000",Northeast,Metropolitan
7179,Suburban,"Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this","No, don't use this",Roman Catholic,College graduate+,Independent,No,White non-Hispanic,30-49,"U.S. - 50 states, District of Columbia",A man,1,"$100,000 to less than $125,000",West,Metropolitan
2499,Rural,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don't use this","No, don't use this","No, don't use this",Protestant,Some College,Republican,No,White non-Hispanic,18-29,"U.S. - 50 states, District of Columbia",A man,3,"$70,000 to less than $100,000",South,Metropolitan
